學年度,洲別,國別,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_馬來西亞華裔青年來台就學輔導及技職研習專班,境外專班
112,歐洲,丹麥,4,0,0,25,0,135,0,0,0
112,歐洲,奧地利,31,0,0,31,8,76,0,0,0
112,歐洲,瑞典,5,0,0,65,2,60,0,0,0
112,歐洲,芬蘭,7,0,0,57,2,56,0,0,0
112,歐洲,瑞士,15,0,0,35,3,69,0,0,0
112,歐洲,匈牙利,17,1,0,17,11,65,0,0,0
112,歐洲,挪威,7,1,0,17,5,77,0,0,0
112,歐洲,斯洛伐克,9,0,0,36,7,53,0,0,0
112,歐洲,立陶宛,4,0,0,26,10,45,0,0,0
112,歐洲,葡萄牙,9,9,0,9,4,21,0,0,0
112,歐洲,愛爾蘭,10,1,0,3,3,25,0,0,0
112,歐洲,羅馬尼亞,6,0,0,8,4,10,0,0,0
112,歐洲,克羅埃西亞,3,0,0,4,0,10,0,0,0
112,歐洲,希臘,1,0,0,2,1,11,0,0,0
112,歐洲,保加利亞,0,0,0,2,4,6,0,0,0
112,歐洲,白俄羅斯,5,0,0,1,1,5,0,0,0
112,歐洲,斯洛維尼亞,3,0,0,3,2,4,0,0,0
112,歐洲,拉脫維亞,5,0,0,0,0,6,0,0,0
112,歐洲,愛沙尼亞,2,0,0,3,1,3,0,0,0
112,歐洲,塞爾維亞共和國,2,0,0,0,0,5,0,0,0
112,歐洲,阿爾巴尼亞,2,0,0,0,1,3,0,0,0
112,歐洲,盧森堡,1,0,0,3,0,1,0,0,0
112,歐洲,科索沃共和國,1,0,0,0,0,1,0,0,0
112,歐洲,冰島,0,0,0,0,0,1,0,0,0
112,歐洲,北馬其頓共和國,0,0,0,0,1,0,0,0,0
112,美洲,美國,409,137,0,399,706,3431,0,0,8
112,美洲,加拿大,59,128,0,44,65,263,0,0,2
112,美洲,貝里斯,239,2,0,0,1,110,0,0,0
112,美洲,宏都拉斯,165,1,0,1,0,118,0,0,0
112,美洲,瓜地馬拉,115,4,0,1,0,97,0,0,10
112,美洲,墨西哥,54,7,0,15,15,117,0,0,2
112,美洲,海地,126,0,0,0,0,72,0,0,0
112,美洲,聖露西亞,129,0,0,0,2,51,0,0,0
112,美洲,聖文森,102,0,0,0,0,57,0,0,0
112,美洲,尼加拉瓜,43,2,0,0,0,8,0,0,0
112,美洲,薩爾瓦多,21,3,0,0,0,7,0,0,0
